Time [s],x [in],y [in],Displacement [in],Linear Vel. [in/s],Linear Accel. [in/s^2]
0,0.537,1.566,1.655,0.731,-0.122
0.017,0.549,1.569,1.662,0.729,-0.103
0.033,0.561,1.572,1.669,0.728,-0.085
0.05,0.572,1.575,1.676,0.726,-0.068
0.067,0.584,1.578,1.683,0.725,-0.051
0.083,0.596,1.581,1.69,0.724,-0.035
0.1,0.608,1.584,1.697,0.724,-0.019
0.117,0.619,1.587,1.704,0.723,-0.004
0.133,0.631,1.59,1.711,0.723,0.011
0.15,0.643,1.593,1.718,0.723,0.025
0.167,0.655,1.596,1.725,0.724,0.039
0.183,0.666,1.598,1.732,0.725,0.053
0.2,0.678,1.601,1.739,0.725,0.066
0.217,0.69,1.604,1.746,0.727,0.079
0.233,0.702,1.606,1.753,0.728,0.092
0.25,0.714,1.609,1.76,0.729,0.104
0.267,0.725,1.611,1.767,0.731,0.116
0.283,0.737,1.614,1.774,0.733,0.128
0.3,0.749,1.616,1.781,0.735,0.14
0.317,0.761,1.618,1.788,0.737,0.151
0.333,0.773,1.621,1.796,0.74,0.163
0.35,0.786,1.623,1.803,0.743,0.174
0.367,0.798,1.625,1.81,0.746,0.185
0.383,0.81,1.627,1.818,0.749,0.196
0.4,0.822,1.629,1.825,0.752,0.207
0.417,0.835,1.632,1.833,0.755,0.218
0.433,0.847,1.634,1.84,0.759,0.229
0.45,0.86,1.636,1.848,0.763,0.239
0.467,0.872,1.638,1.855,0.767,0.25
0.483,0.885,1.64,1.863,0.771,0.26
0.5,0.897,1.642,1.871,0.775,0.271
0.517,0.91,1.643,1.879,0.78,0.281
0.533,0.923,1.645,1.886,0.785,0.291
0.55,0.936,1.647,1.894,0.789,0.302
0.567,0.949,1.649,1.902,0.794,0.312
0.583,0.962,1.65,1.91,0.8,0.323
0.6,0.975,1.652,1.919,0.805,0.333
0.617,0.989,1.654,1.927,0.811,0.343
0.633,1.002,1.655,1.935,0.816,0.354
0.65,1.016,1.657,1.943,0.822,0.364
0.667,1.029,1.658,1.952,0.828,0.374
0.683,1.043,1.659,1.96,0.835,0.385
0.7,1.057,1.661,1.969,0.841,0.395
0.717,1.071,1.662,1.977,0.848,0.406
0.733,1.085,1.663,1.986,0.854,0.416
0.75,1.099,1.664,1.995,0.861,0.427
